palavra	classe gramatical	fonema
a	AT	a
a	PP	a
a-a	NN-F	a-ˈa
a-al	NN-M	a-ˈaw
a-ba	NN-M	ˈa-bə
a-ba	NN-F	ˈa-bə
a-ba-can-to	NN-M	a-ba-kˈə̃-tʊ
a-ba-ca-te	JJ	a-ba-kˈa-tʃi
a-ba-ca-te	NN-M	a-ba-kˈa-tʃi
a-ba-ca-te	NN-F	a-ba-kˈa-tʃi
a-ba-ca-xi	JJ	a-ba-ka-ʃˈi
á-bê-cê	NN-M	ˌa-bˌe-sˈe
ab-re-a-ti-vo	JJ	ab-xi-a-tʃˈi-vʊ
ab-ro-ga-do	JJ	ab-xo-gˈa-dʊ
ab-ro-ga-dor	JJ	ab-xo-ga-dˈoɾ
ab-ro-ga-dor	NN-M	ab-xo-ga-dˈoɾ
ab-ro-gar	VB	ab-xo-gˈaɾ
ab-ro-ga-tó-ri-o	JJ	ab-xo-ga-tˈɔ-ɾjʊ
a-pro-pó-si-to	NN-M	a-pɾo-pˈɔ-zi-tʊ
à-von-ta-de	NN-M	ˌa-võ-tˈa-dʒi
ba-ba	NN-M	bˈa-bə
ba-ba	NN-F	bˈa-bə
ba-bá	NN-F	ba-bˈa
ba-bá	NN-M	ba-bˈa
ba-ba-ca	JJ	ba-bˈa-kə
ba-ba-da	NN-F	ba-bˈa-də
ba-ba-do	NN-M	ba-bˈa-dʊ
ba-ba-do	JJ	ba-bˈa-dʊ
ba-bar	VB	ba-bˈa
ba-bei-ro	NN-M	ba-bˈej-ɾʊ
ba-bel	NN-F	ba-bˈɛw
ba-bé-li-co	JJ	ba-bˈɛ-li-kʊ
ba-be-te	NN-M	ba-bˈɛ-tʃi
ba-bi-ló-ni-a	NN-F	ba-bi-lˈɔ-njə
ba-bi-lô-ni-a	NN-F	ba-bi-lˈo-njə
ba-bi-ló-ni-co	JJ	ba-bi-lˈɔ-ni-kʊ
ba-bi-lô-ni-co	JJ	ba-bi-lˈo-ni-kʊ
ba-bi-ló-ni-o	JJ	ba-bi-lˈɔ-njʊ
ba-bi-ló-ni-o	NN-M	ba-bi-lˈɔ-njʊ
ba-bi-lô-ni-o	JJ	ba-bi-lˈo-njʊ
ca	CC	kˈa
cá	NN-M	kˈa
cá	ADVB	kˈa
cã	NN-F	kˈə̃
cã	NN-M	kˈə̃
ca-ba	NN-F	kˈa-bə
ca-ba-ça	NN-M	ka-bˈa-sə ou ka-bˈa-sə
ca-ba-cei-ra	NN-F	ka-ba-sˈej-ɾə
ca-ba-cei-ro	NN-M	ka-ba-sˈej-ɾʊ
ca-ba-ci-nha	NN-F	ka-ba-sˈi-ɲə
ca-ba-ço	NN-M	ka-bˈa-sʊ
ca-bai-a	NN-F	ka-bˈaj-jə
ca-bal	JJ	ka-bˈaw
ca-ba-la	NN-F	ka-bˈa-lə
ca-ba-la	JJ	ka-bˈa-lə
ca-ba-la	NN-M	ka-bˈa-lə
ca-ba-lar	VB	ka-ba-lˈa
ca-ba-lis-ta	NN-M	ka-ba-lˈis-tə
ca-ba-lis-ta	NN-F	ka-ba-lˈis-tə
ca-ba-lis-ti-ca-men-te	ADVB	ka-ba-lis-tʃi-ka-mˈẽj-tʃi
da-ção	NN-F	da-sˈə̃w
dá-ci-a	NN-F	dˈa-sjə
dá-ci-o	JJ	dˈa-sjʊ
dá-ci-o	NN-M	dˈa-sjʊ
da-co	JJ	dˈa-kʊ
da-co	NN-M	dˈa-kʊ
dac-ti-lo-gra-fa-do	JJ	da-ki-tʃi-lo-gɾa-fˈa-dʊ
dac-ti-lo-gra-far	VB	da-ki-tʃi-lo-gɾa-fˈa
dac-ti-lo-gra-fi-a	NN-F	da-ki-tʃi-lo-gɾa-fˈi-jə
dac-ti-ló-gra-fo	NN-M	da-ki-tʃi-lˈɔ-gɾa-fʊ
dac-ti-los-co-pi-a	NN-F	da-ki-tʃi-lɔs-ko-pˈi-jə
dac-ti-los-có-pi-co	JJ	da-ki-tʃi-lɔs-kˈɔ-pi-kʊ
da-da	NN-F	dˈa-də
da-dá	NN-M	da-dˈa
da-da-ís-mo	NN-M	da-da-ˈiz-mʊ
da-da-ís-ta	JJ	da-da-ˈis-tə
da-da-ís-ta	NN-M	da-da-ˈis-tə ou da-da-ˈis-tə
dá-di-va	NN-F	dˈa-dʒi-və
da-do	NN-M	dˈa-dʊ
da-do	JJ	dˈa-dʊ
e	CC	i
é-ba-no	NN-M	ˈɛ-ba-nʊ
é-bo-la	NN-M	ˈɛ-bo-lə
e-bo-ni-te	NN-F	ɛ-bo-nˈi-tʃi
e-bo-ren-se	JJ	e-bo-ɾˈẽj-si
e-bo-ren-se	NN-M	e-bo-ɾˈẽj-si ou e-bo-ɾˈẽj-si
é-bri-o	JJ	ˈɛ-bɾjʊ
é-bri-o	NN-M	ˈɛ-bɾjʊ ou ˈɛ-bɾjʊ
e-bu-li-ção	NN-F	e-bu-li-sˈə̃w
e-bu-li-en-te	JJ	e-bu-li-ˈẽj-tʃi
é-char-pe	NN-F	e-ʃˈaɾ-pi
e-clamp-si-a	NN-F	e-klə̃m-pi-sˈi-jə
e-clé-si-a	NN-F	e-klˈɛ-zja
e-cle-si-as-ti-ca-men-te	ADVB	e-kle-zjas-tʃi-ka-mˈẽj-tʃi
e-cle-si-ás-ti-co	NN-M	e-kle-zjˈas-tʃi-kʊ
e-cle-si-ás-ti-co	JJ	e-kle-zjˈas-tʃi-kʊ
e-clé-ti-ca	NN-F	e-klˈɛ-tʃi-kə
fá	NN-M	fˈa
fã	NN-M	fˈə̃
fã	NN-F	fˈə̃
fa-bi-a-na	NN-F	fa-bjˈə-nə
fa-bi-a-no	NN-M	fa-bjˈə-nʊ
fa-bi-a-no	JJ	fa-bjˈə-nʊ
fá-bri-ca	NN-F	fˈa-bɾi-kə
fa-bri-ca-ção	NN-F	fa-bɾi-ka-sˈə̃w
fa-bri-ca-do	JJ	fa-bɾi-kˈa-dʊ
fa-bri-ca-dor	NN-M	fa-bɾi-ka-dˈoɾ
fa-bri-ca-dor	JJ	fa-bɾi-ka-dˈoɾ
fa-bri-can-do	JJ	fa-bɾi-kˈə̃-dʊ
fa-bri-can-te	NN-F	fa-bɾi-kˈə̃-tʃi
fa-bri-can-te	JJ	fa-bɾi-kˈə̃-tʃi
fa-bri-can-te	NN-M	fa-bɾi-kˈə̃-tʃi
fa-bri-car	VB	fa-bɾi-kˈa
fa-bri-co	NN-M	fa-bɾˈi-kʊ
fa-bril	JJ	fa-bɾˈiw ou fa-bɾˈiw
fa-bril-men-te	ADVB	fa-bɾiw-mˈẽj-tʃi
fa-bri-quei-ro	JJ	fa-bɾi-kˈej-ɾʊ
ga-bão	NN-M	ga-bˈə̃w
ga-bar	VB	ga-bˈa
ga-bar-di-na	NN-F	ga-baɾ-dʒˈi-nə
ga-bar-di-ne	NN-F	ga-baɾ-dʒˈi-ni
ga-ba-ri-to	NN-M	ga-ba-ɾˈi-tʊ
ga-ba-ro-la	JJ	ga-ba-ɾˈɔ-lə
ga-ba-ro-la	NN-M	ga-ba-ɾˈɔ-lə ou ga-ba-ɾˈɔ-lə
ga-ba-ro-las	NN-M	ga-ba-ɾˈɔ-ləs
ga-ba-ro-li-ce	NN-F	ga-ba-ɾo-lˈi-si
ga-bar-ra	NN-F	ga-bˈa-xə
ga-be-la	NN-F	ga-bˈɛ-lə
ga-bi-ar	VB	ga-bjˈa
ga-bi-ne-te	NN-M	ga-bi-nˈe-tʃi
ga-bi-ru	NN-M	ga-bi-ɾˈu
ga-bi-ru	JJ	ga-bi-ɾˈu
ga-bo	NN-M	gˈa-bʊ
ga-bo-nês	NN-M	ga-bo-nˈes
ga-bo-nês	JJ	ga-bo-nˈes
ga-cha	NN-F	gˈa-ʃə
ga-da-nha	NN-F	ga-dˈə-ɲə
há	NN-M	ˈa
hã	INTJ	ˈə̃
ha-ba-ne-ra	NN-F	a-ba-nˈɛ-ɾə
há-bil	JJ	ˈa-biw
ha-bi-li-da-de	NN-F	a-bi-li-dˈa-dʒi
ha-bi-li-do-sa	NN-F	a-bi-li-dˈɔ-zə
ha-bi-li-do-sa-men-te	ADVB	a-bi-li-dɔ-za-mˈẽj-tʃi
ha-bi-li-do-so	JJ	a-bi-li-dˈo-zʊ
ha-bi-li-do-so	NN-M	a-bi-li-dˈo-zʊ
ha-bi-li-ta-ção	NN-F	a-bi-li-ta-sˈə̃w
ha-bi-li-ta-do	JJ	a-bi-li-tˈa-dʊ
ha-bi-li-tan-do	NN-M	a-bi-li-tˈə̃-dʊ
ha-bi-li-tan-do	JJ	a-bi-li-tˈə̃-dʊ
ha-bi-li-tan-te	NN-F	a-bi-li-tˈə̃-tʃi
ha-bi-li-tan-te	NN-M	a-bi-li-tˈə̃-tʃi
ha-bi-li-tan-te	JJ	a-bi-li-tˈə̃-tʃi
ha-bi-li-tar	VB	a-bi-li-tˈa
ha-bil-men-te	ADVB	a-biw-mˈẽj-tʃi
ha-bi-ta-bi-li-da-de	NN-F	a-bi-ta-bi-li-dˈa-dʒi
ha-bi-ta-ção	NN-F	a-bi-ta-sˈə̃w
i	ADVB	i
i-ai-á	NN-F	i-aj-ˈa
i-an-que	JJ	jˈə̃-ki
i-an-que	NN-M	jˈə̃-ki
i-an-que	NN-F	jˈə̃-ki
i-ao	NN-M	i-ˈə̃w
i-ão	NN-M	i-ˈə̃w
i-a-que	NN-M	jˈa-ki
i-a-ra	NN-F	jˈa-ɾə
i-a-te	NN-M	jˈa-tʃi
i-a-tis-mo	NN-M	ja-tʃˈiz-mʊ
i-a-tis-ta	JJ	ja-tʃˈis-tə
i-a-tis-ta	NN-M	ja-tʃˈis-tə
i-a-tis-ta	NN-F	ja-tʃˈis-tə
i-bé-ri-a	NN-F	i-bˈɛ-ɾjə
i-bé-ri-ca	NN-F	i-bˈɛ-ɾi-kə
i-bé-ri-co	JJ	i-bˈɛ-ɾi-kʊ
i-bé-ri-co	NN-M	i-bˈɛ-ɾi-kʊ
i-bé-ri-o	JJ	i-bˈɛ-ɾjʊ
i-be-ris-mo	NN-M	i-be-ɾˈiz-mʊ
já	CC	ʒˈa
já	ADVB	ʒˈa
ja-bi-ru	NN-M	ʒa-bi-ɾˈu
ja-bu-ti	NN-M	ʒa-bu-tʃˈi
ja-ca	NN-F	ʒˈa-kə
ja-ca	NN-M	ʒˈa-kə
ja-ca-ran-dá	NN-M	ʒa-ka-ɾə̃-dˈa
ja-ca-ré	NN-M	ʒa-ka-ɾˈɛ
ja-cen-te	JJ	ʒa-sˈẽj-tʃi
ja-cen-te	NN-M	ʒa-sˈẽj-tʃi
ja-cin-to	NN-M	ʒa-sˈĩ-tʊ
ja-co-bei-a	NN-F	ʒa-ko-bˈej-jə
ja-co-beu	NN-M	ʒa-ko-bˈew
ja-co-bi-na-men-te	ADVB	ʒa-ko-bi-na-mˈẽj-tʃi
ja-co-bi-nis-mo	NN-M	ʒa-ko-bi-nˈiz-mʊ
ja-co-bi-no	JJ	ʒa-ko-bˈi-nʊ
ja-co-bi-no	NN-M	ʒa-ko-bˈi-nʊ
jac-tân-ci-a	NN-F	ʒa-kə-tˈə̃-sjə
jac-tar	VB	ʒa-kə-tˈa
kaf-ki-a-na	NN-F	kaf-kjˈə-nə
kaf-ki-a-no	JJ	kaf-kjˈə-nʊ
kaf-ki-a-no	NN-M	kaf-kjˈə-nʊ
ka-mi-ka-ze	NN-M	ka-mi-kˈa-zi
ka-mi-ka-ze	JJ	ka-mi-kˈa-zi
kan-ti-a-na	NN-F	kə̃-tʃjˈə-nə
kan-ti-a-no	NN-M	kə̃-tʃjˈə-nʊ
kan-ti-a-no	JJ	kə̃-tʃjˈə-nʊ
ka-ra-té	NN-M	ka-ɾa-tˈɛ
ka-ra-te-ca	NN-M	ka-ɾa-tˈɛ-kə ou ka-ɾa-tˈɛ-kə
kar-tó-dro-mo	NN-M	kaɾ-tˈɔ-dɾo-mʊ
ke-ple-ri-a-no	JJ	kɛ-ple-ɾjˈə-nʊ
lá	ADVB	lˈa
lá	NN-M	lˈa
lã	NN-F	lˈə̃
la-ba-re-da	NN-F	la-ba-ɾˈe-də
la-ba-re-da	NN-M	la-ba-ɾˈe-də
la-béu	NN-M	la-bˈɛw
lá-bi-a	NN-F	lˈa-bjə
la-bi-a-do	NN-M	la-bjˈa-dʊ
la-bi-a-do	JJ	la-bjˈa-dʊ
la-bi-al	NN-F	la-bjˈaw
la-bi-al	JJ	la-bjˈaw
lá-bi-o	NN-M	lˈa-bjʊ
la-bi-rín-ti-co	JJ	la-bi-ɾˈĩ-tʃi-kʊ
la-bi-rin-to	NN-M	la-bi-ɾˈĩ-tʊ
la-bor	NN-M	la-bˈoɾ
la-bo-ra-ção	NN-F	la-bo-ɾa-sˈə̃w
la-bo-ral	JJ	la-bo-ɾˈaw
la-bo-rar	VB	la-bo-ɾˈa
la-bo-ra-to-ri-al	JJ	la-bo-ɾa-to-ɾjˈaw
la-bo-ra-to-ri-al-men-te	ADVB	la-bo-ɾa-to-ɾjaw-mˈẽj-tʃi
má	NN-F	mˈa
ma-bo-que	NN-M	ma-bˈɔ-ki
ma-bu-ba	NN-F	ma-bˈu-bə
ma-bun-da	NN-F	ma-bˈũ-də
ma-ca	NN-F	mˈa-kə
ma-ça	NN-F	mˈa-sə
ma-çã	NN-F	ma-sˈə̃
ma-çã de A-dão	NN-F	ma-sˌə̃-dʒi-a-dˈə̃w
ma-ca-beu	NN-M	ma-ka-bˈew
ma-ca-beu	JJ	ma-ka-bˈew
ma-ca-bra-men-te	ADVB	ma-ka-bɾa-mˈẽj-tʃi
ma-ca-bro	JJ	ma-kˈa-bɾʊ
ma-ca-ca	NN-F	ma-kˈa-kə
ma-ca-ca-da	NN-F	ma-ka-kˈa-də
ma-ca-cão	NN-M	ma-ka-kˈə̃w
ma-ca-co	NN-M	ma-kˈa-kʊ
má-cri-a-ção	NN-F	mˌa-kɾja-sˈə̃w
má-fé	NN-F	mˌa-fˈɛ
má-lín-gua	JJ	mˌa-lˈĩ-gwə
má-lín-gua	NN-M	mˌa-lˈĩ-gwə ou mˌa-lˈĩ-gwə
na-ba-bo	NN-M	na-bˈa-bʊ
na-bal	NN-M	na-bˈaw
na-ban-ti-na	NN-F	na-bə̃-tʃˈi-nə
na-ban-ti-no	JJ	na-bə̃-tʃˈi-nʊ
na-ban-ti-no	NN-M	na-bə̃-tʃˈi-nʊ
na-bi-ça	NN-F	na-bˈi-sə
na-bo	NN-M	nˈa-bʊ
na-ção	NN-F	na-sˈə̃w
ná-car	NN-M	nˈa-kaɾ
na-ca-ra-do	JJ	na-ka-ɾˈa-dʊ
na-ca-rar	VB	na-ka-ɾˈa
na-ci-o-nal	NN-F	na-si-o-nˈaw
na-ci-o-nal	NN-M	na-si-o-nˈaw
na-ci-o-nal	JJ	na-si-o-nˈaw
na-ci-o-nal-sin-di-ca-lis-mo	NN-M	na-si-o-nˌaw-sĩ-dʒi-ka-lˈiz-mʊ
na-ci-o-nal-sin-di-ca-lis-ta	JJ	na-si-o-nˌaw-sĩ-dʒi-ka-lˈis-tə
na-ci-o-nal-sin-di-ca-lis-ta	NN-M	na-si-o-nˌaw-sĩ-dʒi-ka-lˈis-tə ou na-si-o-nˌaw-sĩ-dʒi-ka-lˈis-tə
na-ci-o-nal-so-ci-a-lis-mo	NN-M	na-si-o-nˌaw-so-sja-lˈiz-mʊ
na-ci-o-nal-so-ci-a-lis-ta	NN-M	na-si-o-nˌaw-so-sja-lˈis-tə
na-ci-o-nal-so-ci-a-lis-ta	JJ	na-si-o-nˌaw-so-sja-lˈis-tə
o	PN	u
o	PN	u
o	AT	u ou u
ó	INTJ	ˈɔ
o-á-sis	NN-M	o-ˈa-zis
o-ba	NN-F	o-bə
o-ba	INTJ	o-bə
o-bau-di-ção	NN-F	o-baw-dʒi-sˈə̃w
ob-ce-ca-ção	NN-F	o-bi-se-ka-sˈə̃w
ob-ce-ca-da	NN-F	o-bi-se-kˈa-də
ob-ce-ca-da-men-te	ADVB	o-bi-se-ka-da-mˈẽj-tʃi
ob-ce-ca-do	NN-M	o-bi-se-kˈa-dʊ
ob-ce-ca-do	JJ	o-bi-se-kˈa-dʊ
ob-ce-can-te	JJ	o-bi-se-kˈə̃-tʃi
ob-ce-car	VB	o-bi-se-kˈa
ob-com-pri-mi-do	JJ	ob-kõ-pɾi-mˈi-dʊ
ob-có-ni-co	JJ	ob-kˈɔ-ni-kʊ
ob-cor-da-do	JJ	ob-koɾ-dˈa-dʊ
ob-cor-ren-te	JJ	ob-ko-xˈẽj-tʃi
ob-ro-gar	VB	ob-xo-gˈaɾ
pá	INTJ	pˈa
pá	NN-M	pˈa
pá	NN-F	pˈa
pa-ca	NN-F	pˈa-kə
pa-ca	JJ	pˈa-kə
pa-ca-ça	NN-F	pa-kˈa-sə
pa-ca-ta	NN-F	pa-kˈa-tə
pa-ca-ta-men-te	ADVB	pa-ka-ta-mˈẽj-tʃi
pa-ca-tez	NN-F	pa-ka-tˈes
pa-ca-to	JJ	pa-kˈa-tʊ
pa-ca-to	NN-M	pa-kˈa-tʊ
pa-cau	NN-M	pa-kˈaw
pa-cen-se	JJ	pa-sˈẽj-si
pa-cen-se	NN-M	pa-sˈẽj-si ou pa-sˈẽj-si
