@relation posTagger.txt

@attribute prob_word numeric
@attribute index_word numeric
@attribute tag {LPREP,ART,N,PREP+ART,',',VLIG,ADV,ADJ,CONJCOORD,PREP,VTD,PR,VBI,LADV,PPS,VAUX,),CONJSUB,VINT,:,LDEN,PPR,NP,PPOA,PREP+PPR,PAPASS,PD,-,VTI,PIND,PREP+PD,NC,NO,(,RES,PPOT,VAUX+PPOA,VLIG+PPOA,LCONJ,],;,VTD+PPOA,PREP+PREP,ORD,LP,PTRA,PINT,PDEN,PREAL,VBI+PPOA,...,AUX,PREP+ADV,VTI+PPOA}

@data
0.000007,0.108508,LPREP
0.000007,0.703873,ART
0.000004,0.528263,N
0.000057,0.375811,PREP+ART
0.000071,0.972367,N
0.000742,0.048984,','
0.00005,0.991832,VLIG
0.000004,0.724502,ART
0.000007,0.460736,PREP+ART
0.000881,0.039373,','
0.000032,0.723173,ART
0.000014,0.641898,ADV
0.000004,0.923175,VLIG
0.000032,0.790622,N
0.000004,0.532104,N
0.000004,0.039251,','
0.000004,0.308023,ADJ
0.000004,0.037705,','
0.000004,0.663596,N
0.000011,0.201088,ADJ
0.000004,0.724502,ART
0.000021,0.482564,CONJCOORD
0.000007,0.865119,N
0.000014,0.407989,PREP
0.000007,0.904031,ADJ
0.000018,0.587935,ADJ
0.000007,0.737737,N
0.000011,0.681706,PREP+ART
0.000014,0.352827,N
0.000143,0.478245,CONJCOORD
0.000036,0.406764,PREP
0.00026,0.941206,ADJ
0.000043,0.272674,ART
0.000011,0.547102,VTD
0.000086,0.745062,N
0.000004,0.371241,PREP+ART
0.000118,0.039078,','
0.000039,0.715952,PR
0.000007,0.861877,ADJ
0.000007,0.460736,PREP+ART
0.000004,0.374838,PREP+ART
0.000881,0.039373,','
0.000004,0.719315,N
0.000025,0.22137,PREP
0.000029,0.216034,PREP
0.000007,0.271631,ART
0.000218,0.993378,VLIG
0.000068,0.957464,ART
0.000007,0.94708,N
0.000014,0.396041,PREP
0.000018,0.574423,N
0.000692,0.02069,','
0.00005,0.255885,LPREP
0.000014,0.637015,LPREP
0.000061,0.454853,LPREP
0.000118,0.932612,N
0.000025,0.026156,','
0.000004,0.376741,VBI
0.000004,0.719315,N
0.000025,0.22137,PREP
0.000004,0.734721,ADJ
0.000007,0.435327,ADJ
0.000128,0.282432,LPREP
0.000599,0.407259,LPREP
0.000043,0.96193,ART
0.000046,0.925217,N
0.00051,0.470859,CONJCOORD
0.000004,0.368755,PREP+ART
0.000025,0.452168,PREP+ART
0.000029,0.255955,PREP+ART
0.000103,0.650458,ADV
0.000018,0.247769,N
0.000007,0.585554,ADJ
0.000043,0.640377,N
0.000007,0.460736,PREP+ART
0.000007,0.560319,VTD
0.000032,0.564577,ADJ
0.000004,0.026816,','
0.000007,0.104241,ART
0.000011,0.849277,N
0.000014,0.37363,PREP+ART
0.000007,0.460736,PREP+ART
0.000061,0.924539,VLIG
0.000004,0.758879,ADJ
0.000032,0.832463,PR
0.000763,0.320137,PREP
0.000025,0.700771,ART
0.000011,0.236672,N
0.000007,0.492227,ADJ
0.000004,0.135142,LADV
0.000146,0.569991,LADV
0.000061,0.046116,','
0.000007,0.914024,PPS
0.000014,0.989868,VAUX
0.000018,0.330486,VTD
0.000835,0.407251,PREP
0.000004,0.705576,ART
0.000004,0.647442,N
0.001274,0.011079,)
0.001231,0.038556,','
0.000178,0.04092,','
0.000164,0.780403,CONJCOORD
0.000007,0.03077,','
0.000004,0.953945,ADJ
0.000011,0.559702,N
0.000004,0.967527,ADJ
0.000032,0.033516,','
0.000004,0.42211,PREP
0.000004,0.285552,PREP
0.000071,0.321492,PREP
0.000004,0.597025,N
0.000004,0.823843,PR
0.000125,0.76855,VAUX
0.000093,0.779412,PREP
0.000032,0.962295,ART
0.000004,0.77956,PREP
0.001163,0.011088,)
0.000025,0.026156,','
0.000004,0.376741,VBI
0.000004,0.719315,N
0.000018,0.574423,N
0.000032,0.55972,N
0.000004,0.474674,CONJCOORD
0.000011,0.883984,ADJ
0.000018,0.574423,N
0.000029,0.408172,PREP
0.000004,0.905934,N
0.000004,0.340279,N
0.000011,0.460814,PREP+ART
0.000004,0.345537,VTD
0.000032,0.981934,VLIG
0.000004,0.587883,ADJ
0.000036,0.630906,VTD
0.001424,0.829465,CONJSUB
0.000004,0.705594,ART
0.000029,0.648633,N
0.000007,0.460736,PREP+ART
0.000011,0.536953,VTD
0.000111,0.221517,ART
